Rotating Speed S.P (RPM),1.50000E+3
Mean Extension (mm),-2.50730E-3
Sampling Rate (Hz),5.00000E+3
Time (secs),Extension (mm),Vibration 1 (g),Vibration 2 (g),Vibration 3 (g),Tachometer (V)
0.05240000,-0.00226423,0.03417969,0.13183594,1.33300781,0.06591797
0.05260000,-0.00226423,-0.16601562,-0.02441406,1.16210937,0.06835937
0.05280000,-0.00470564,0.00976562,0.25390625,0.53222656,0.06835937
0.05300000,-0.00226423,-0.01953125,0.17089844,0.42968750,0.07324219
0.05320000,0.00017718,-0.00976562,0.76660156,0.47851562,0.06835937
0.05340000,-0.00226423,0.13183594,-0.01464844,0.60058594,0.06835937
0.05360000,-0.00226423,0.05859375,0.88378906,0.00488281,0.07080078
0.05380000,-0.00226423,-0.06347656,-0.56640625,0.40039062,0.08300781
0.05400000,-0.00470564,0.03417969,0.42480469,-0.06347656,0.11474609
0.05420000,-0.00226423,0.21972656,0.60058594,0.49804687,0.20996094
0.05440000,-0.00470564,0.03417969,0.46386719,0.55175781,0.37597656
0.05460000,-0.00470564,-0.12207031,-0.39062500,-0.05371094,0.53466797
0.05480000,-0.00226423,0.14160156,0.40527344,0.34179687,0.72753906
0.05500000,-0.00226423,0.09765625,0.86914062,0.00000000,0.94970703
0.05520000,-0.00226423,-0.08300781,0.15136719,0.13671875,1.14013672
0.05540000,-0.00226423,0.14160156,0.42968750,-0.63964844,1.20117187
0.05560000,-0.00226423,-0.00488281,0.05371094,-0.20019531,1.20849609
0.05580000,-0.00226423,-0.00488281,0.41503906,-0.25878906,1.20605469
0.05600000,0.00017718,-0.01953125,0.40527344,-0.07812500,1.24755859
0.05620000,-0.00226423,0.00976562,0.52734375,-0.84960937,1.30859375
0.05640000,0.00017718,-0.13671875,0.09277344,0.21972656,1.37939453
0.05660000,-0.00226423,-0.07324219,-0.41015625,0.23925781,1.45751953
0.05680000,-0.00226423,-0.01464844,-0.24414062,0.38574219,1.53320312
0.05700000,-0.00226423,-0.11230469,0.28808594,-0.41503906,1.53076172
0.05720000,-0.00226423,-0.15625000,-0.26855469,-0.38085937,1.44287109
0.05740000,-0.00226423,0.02929687,-0.28320312,-0.19042969,1.39160156
0.05760000,-0.00226423,0.04882812,0.15625000,-0.15625000,1.37451172
0.05780000,-0.00226423,-0.13671875,0.10742187,-0.32714844,1.37939453
0.05800000,-0.00470564,0.00000000,0.59570312,-0.65917969,1.35742187
0.05820000,-0.00226423,-0.00976562,-0.12207031,0.07324219,1.35009766
0.05840000,-0.00226423,-0.00976562,-0.31250000,0.16601562,1.37939453
0.05860000,-0.00226423,-0.05859375,-0.63476562,0.77148437,1.37207031
0.05880000,-0.00226423,0.03417969,0.01464844,0.12207031,1.37939453
0.05900000,-0.00226423,-0.07812500,-0.23437500,0.35156250,1.38427734
0.05920000,-0.00226423,0.05859375,-0.36621094,0.18066406,1.36718750
0.05940000,-0.00470564,0.05859375,-0.07812500,0.65429687,1.37939453
0.05960000,-0.00226423,-0.01953125,-0.15136719,0.37597656,1.37207031
0.05980000,-0.00226423,0.00000000,-0.27832031,0.14648437,1.41845703
0.06000000,-0.00226423,0.08789062,-0.02929687,0.20996094,1.55029297
0.06020000,-0.00226423,0.05371094,-0.29296875,0.65917969,1.47216797
0.06040000,-0.00226423,0.02441406,-0.21484375,0.96191406,1.07666016
0.06060000,-0.00226423,0.05371094,0.00488281,0.45898437,0.66406250
0.06080000,-0.00226423,0.03417969,-0.53222656,0.62011719,0.40283203
0.06100000,-0.00470564,0.02929687,0.30273437,0.64453125,0.25390625
0.06120000,-0.00226423,0.12207031,0.07324219,0.55664062,0.17333984
0.06140000,-0.00226423,0.08789062,0.23925781,0.03906250,0.12939453
0.06160000,-0.00470564,0.00488281,0.41015625,0.18066406,0.10498047
0.06180000,-0.00226423,0.07324219,0.54687500,0.03417969,0.09033203
0.06200000,-0.00226423,0.09277344,0.31738281,0.08300781,0.08056641
0.06220000,-0.00226423,0.00976562,0.20019531,-0.16601562,0.07324219
0.06240000,-0.00226423,0.00488281,-0.06835937,-0.15136719,0.06835937
0.06260000,-0.00226423,0.00976562,0.05371094,-0.62500000,0.06347656
0.06280000,-0.00226423,-0.02929687,0.25878906,-0.23437500,0.06347656
0.06300000,-0.00714704,-0.04394531,-0.38574219,-0.53710937,0.06103516
0.06320000,-0.00226423,0.09765625,-0.62988281,0.15625000,0.06591797
0.06340000,-0.00226423,-0.07812500,-0.83984375,0.14160156,0.06103516
0.06360000,-0.00226423,-0.05371094,-0.85449219,0.69824219,0.06103516
0.06380000,-0.00226423,0.00488281,0.05859375,0.03906250,0.06103516
0.06400000,-0.00226423,-0.00976562,-0.24902344,0.57128906,0.06103516
0.06420000,-0.00226423,-0.10253906,-0.04882812,0.42480469,0.06103516
0.06440000,-0.00226423,-0.00976562,0.05371094,0.33691406,0.06103516
0.06460000,-0.00226423,0.05859375,-0.20996094,0.60546875,0.06103516
0.06480000,0.00017718,-0.04882812,-0.21972656,0.67871094,0.06103516
0.06500000,-0.00226423,0.01953125,-0.61035156,0.09765625,0.06591797
0.06520000,-0.00226423,0.14648437,0.48828125,0.28320312,0.05859375
0.06540000,-0.00226423,0.00000000,0.65917969,-0.03906250,0.05859375
0.06560000,-0.00470564,0.00000000,0.63476562,0.02441406,0.05859375
0.06580000,-0.00226423,0.04394531,0.40527344,0.08300781,0.05859375
0.06600000,-0.00226423,-0.00488281,-0.45410156,0.44921875,0.06103516
0.06620000,-0.00226423,-0.01464844,-0.66894531,0.95703125,0.06347656
0.06640000,-0.00226423,0.00000000,-0.12207031,0.85449219,0.06591797
0.06660000,0.00017718,-0.00488281,-0.15625000,0.45410156,0.06347656
0.06680000,-0.00226423,-0.00976562,0.16113281,1.02050781,0.06591797
0.06700000,-0.00470564,0.05371094,0.43457031,0.19531250,0.06591797
0.06720000,-0.00470564,0.07324219,0.23925781,-0.21972656,0.06591797
0.06740000,-0.00226423,0.01464844,0.80566406,0.29785156,0.07080078
0.06760000,-0.00226423,0.06835937,0.06835937,-0.07812500,0.06835937
0.06780000,-0.00226423,0.04394531,-0.21972656,0.30273437,0.07324219
0.06800000,-0.00226423,0.05859375,-0.36132812,0.17578125,0.07324219
0.06820000,-0.00226423,-0.01953125,-0.16113281,-0.00976562,0.07080078
0.06840000,-0.00226423,-0.00488281,0.35156250,0.21972656,0.07324219
0.06860000,-0.00226423,0.00488281,-0.32714844,0.02441406,0.07080078
0.06880000,-0.00226423,-0.02929687,-0.48339844,-0.35156250,0.07324219
0.06900000,-0.00226423,0.04882812,-0.28320312,-0.17578125,0.07080078
0.06920000,-0.00226423,-0.03906250,-0.59082031,-0.43457031,0.07080078
0.06940000,0.00261858,-0.02929687,-0.33691406,-0.64453125,0.06835937
0.06960000,-0.00226423,-0.00976562,-0.23925781,-0.27343750,0.07080078
0.06980000,-0.00226423,-0.00488281,-0.33203125,-0.47363281,0.06835937
